Designator,Mid X,Mid Y,Layer,Rotation
VD101,140.550003mm,49.954989999999995mm,Bottom,90.0
VD100,137.196203mm,49.954989999999995mm,Bottom,90.0
U109,137.730203mm,52.23399mm,Top,0.0
U103,114.850003mm,65.57499mm,Bottom,270.0
U100,112.450103mm,72.25049mm,Top,90.0
U195,119.650003mm,58.09999mm,Top,90.0
U190,133.85000300000002mm,58.09999mm,Top,90.0
U185,112.550003mm,58.09999mm,Top,90.0
U180,126.75000299999999mm,58.09999mm,Top,90.0
S101,128.549703mm,81.36429mm,Top,0.0
S100,139.696503mm,68.24999mm,Top,90.0
R140,133.650103mm,52.049989999999994mm,Bottom,0.0
R111,109.850003mm,63.399989999999995mm,Bottom,180.0
R112,109.850003mm,64.44999mm,Bottom,180.0
R117,109.850003mm,69.69999mm,Bottom,180.0
R115,109.850003mm,67.59998999999999mm,Bottom,180.0
R116,109.850003mm,68.64999mm,Bottom,180.0
R114,109.850003mm,66.54999mm,Bottom,180.0
R113,109.850003mm,65.49999mm,Bottom,180.0
R110,109.850003mm,62.34999mm,Bottom,180.0
R120,140.168303mm,75.53699mm,Top,0.0
R100,109.55010300000001mm,72.24999mm,Bottom,90.0
R258,130.307703mm,51.544889999999995mm,Bottom,270.0
R255,109.500003mm,49.649989999999995mm,Bottom,270.0
R256,131.250003mm,54.24999mm,Bottom,90.0
R254,109.400003mm,52.09999mm,Top,270.0
R245,126.950103mm,50.59999mm,Bottom,0.0
R227,122.150003mm,50.59999mm,Bottom,0.0
R200,112.55010300000001mm,50.59999mm,Bottom,0.0
R197,119.650103mm,59.44999mm,Bottom,180.0
R196,119.650003mm,56.649989999999995mm,Bottom,0.0
R195,122.500103mm,56.149989999999995mm,Bottom,270.0
R191,133.750003mm,59.44999mm,Bottom,180.0
R190,133.750003mm,56.649989999999995mm,Bottom,0.0
R186,112.550003mm,59.44999mm,Bottom,180.0
R185,112.550003mm,56.649989999999995mm,Bottom,0.0
R181,126.75000299999999mm,59.44999mm,Bottom,180.0
R180,126.75000299999999mm,56.649989999999995mm,Bottom,0.0
R139,134.85000300000002mm,49.549989999999994mm,Top,270.0
R138,133.650003mm,49.549989999999994mm,Top,270.0
R137,132.450003mm,49.549989999999994mm,Top,270.0
